Week,DistrictName,DistrictCode,DistrictOrganizationId,Status,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High
Week of 2/22/2021,Sequim School District,5323,100233,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,,,1061,9,6,530,1061,599,25,5,599,599,803,19,0,20,20
Week of 2/22/2021,Shaw Island School District,28010,100234,Complete,100% Remote,100% Remote,Not Applicable,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Shelton School District,23309,100235,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 5,Grade 7","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1354,0,140,422,457,1153,0,84,236,236,1616,100,0,88,88
Week of 2/22/2021,Shoreline School District,17412,100236,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Other - Write In (Required),students with disabilities in self-contained programs,4093,0,42,52,52,2239,0,14,12,12,2904,0,23,37,37
Week of 2/22/2021,Skamania School District,30002,100237,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,47,0,1,46,46,18,0,8,10,10,0,0,0,0,0
Week of 2/22/2021,Skykomish School District,17404,100238,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","Section 504,Students with Disabilities",,29,0,4,17,17,14,0,0,3,3,12,0,0,6,6
Week of 2/22/2021,Snoqualmie Valley School District,17410,100240,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Low Income,Students with Disabilities",,3500,0,750,1700,1700,1500,0,350,60,60,1800,0,350,50,50
Week of 2/22/2021,Soap Lake School District,13156,100241,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,269,0,16,253,253,126,0,13,113,113,190,0,13,177,177
Week of 2/22/2021,South Bend School District,25118,100242,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,269,0,38,110,121,90,0,27,26,37,159,0,63,36,59
Week of 2/22/2021,South Kitsap School District,18402,100244,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",Unengaged over course of time,4008,0,1057,2921,2921,2330,268,588,1446,1446,3560,903,0,100,100
Week of 2/22/2021,South Whidbey School District,15206,100245,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 3",,,497,0,35,154,208,269,9,7,37,55,410,5,0,13,25
Week of 2/22/2021,Southside School District,23042,100246,Complete,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,200,0,44,0,156,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Spokane School District,32081,100247,Complete,Typical/Traditional In-Person,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,15000,200,1250,12000,13550,5000,100,100,250,500,10000,250,150,250,500
Week of 2/22/2021,Sprague School District,22008,100248,Complete,Partial In-Person for All Students,Not Applicable,Partial In-Person for All Students,,,,45,0,4,41,42,0,0,0,0,0,32,0,2,30,30
Week of 2/22/2021,St. John School District,38322,100249,Complete,Partial In-Person for All Students,Not Applicable,Partial In-Person for All Students,,,,65,0,1,64,64,0,0,0,0,0,68,0,1,67,67
Week of 2/22/2021,Stanwood-Camano School District,31401,100250,Complete,Phase-In,Partial In-Person for All Students,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8",,,2088,200,418,1670,1670,1046,21,620,279,279,1290,8,958,332,332
Week of 2/22/2021,Star School District No. 054,11054,100251,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Starbuck School District,7035,100252,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,31,0,0,31,31,10,0,0,10,10,0,0,0,0,0
Week of 2/22/2021,Stehekin School District,4069,100253,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,6,0,0,6,6,2,0,0,2,2,0,0,0,0,0
Week of 2/22/2021,Steilacoom Hist. School District,27001,100254,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","Foster Care,Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",Attendance and Social Emotional Concerns,1408,0,252,1156,1156,734,0,117,33,33,1013,15,141,93,93
Week of 2/22/2021,Steptoe School District,38304,100255,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,30,0,0,30,30,15,0,0,15,15,0,0,0,0,0
Week of 2/22/2021,Stevenson-Carson School District,30303,100256,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,350,0,89,261,261,211,0,46,165,165,259,0,115,72,144
Week of 2/22/2021,Summit Public School: Atlas,17905,106018,Complete,Not Applicable,100% Remote,100% Remote,,,,0,0,0,0,0,263,0,0,0,0,206,0,0,0,0
Week of 2/22/2021,Summit Public School: Olympus,27905,105809,Complete,Not Applicable,Not Applicable,100% Remote,,,,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0
Week of 2/22/2021,Summit Public School: Sierra,17902,105808,Complete,Not Applicable,Not Applicable,Small Groups + Remote,,Other - Write In (Required),One student with an acute need,0,0,0,0,0,0,0,0,0,0,376,0,0,0,1
Week of 2/22/2021,Summit Valley School District,33202,100258,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,46,0,2,44,44,21,0,2,19,19,0,0,0,0,0
Week of 2/22/2021,Sumner School District,27320,100259,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,Students with Disabilities,,3953,0,593,1723,3360,2356,0,401,1002,1655,3018,18,0,38,38
Week of 2/22/2021,Sunnyside School District,39201,100260,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,2829,2,937,946,1892,1692,3,752,420,840,2108,6,0,0,0
Week of 2/22/2021,Suquamish Tribal Education Department,18902,105768,Complete,Not Applicable,Partial In-Person for All Students,100% Remote,,,,0,0,0,0,0,38,0,4,34,16,52,0,0,0,0
Week of 2/22/2021,Tacoma School District,27010,100261,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,13382,0,2300,13382,5988,6593,0,940,6593,138,8634,0,956,8634,225
Week of 2/22/2021,Taholah School District,14077,100262,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6","Section 504,Students with Disabilities",,73,0,20,51,53,25,0,0,5,4,67,0,0,16,10
Week of 2/22/2021,Tahoma School District,17409,100263,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5",Students with Disabilities,,3761,0,1353,2408,2408,2137,0,0,28,28,2703,0,0,109,109
Week of 2/22/2021,Tenino School District,34402,100265,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Homeless,Migrant,Section 504,Students with Disabilities",,579,0,130,225,449,293,0,36,129,257,363,0,68,20,50
Week of 2/22/2021,Thorp School District,19400,100266,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,121,0,0,61,121,58,0,0,29,58,40,0,9,16,31
Week of 2/22/2021,Toledo School District,21237,100267,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Typical/Traditional In-Person,,,,347,0,34,314,314,169,0,15,154,154,204,63,22,182,182
Week of 2/22/2021,Tonasket School District,24404,100268,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,448,0,90,168,342,270,0,29,111,229,341,0,35,116,252
Week of 2/22/2021,Toppenish School District,39202,100269,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Other - Write In (Required),Prioritized students who have not been able to access remote learning opportunities and/or students who need additional support in accessing core curriculum,1826,211,320,497,497,1196,287,528,152,152,2210,783,783,84,84
Week of 2/22/2021,Touchet School District,36300,100270,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,85,0,4,80,80,45,0,2,43,43,80,0,6,74,74
Week of 2/22/2021,Toutle Lake School District,8130,100271,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,348,0,58,145,290,104,0,17,43,87,186,0,58,64,128
Week of 2/22/2021,Trout Lake School District,20400,100272,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,71,0,0,69,69,47,0,0,43,43,76,0,0,67,67
Week of 2/22/2021,Tukwila School District,17406,100243,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,1128,181,139,53,44,615,86,79,7,7,858,85,80,8,7
Week of 2/22/2021,Tumwater School District,34033,100273,Complete,Partial In-Person for All Students,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6","English Language Learners,Students with Disabilities",,2632,159,463,878,1756,1419,92,101,169,337,2160,235,0,48,48
Week of 2/22/2021,Union Gap School District,39002,100274,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,373,0,85,288,288,212,0,56,156,156,0,0,0,0,0
Week of 2/22/2021,University Place School District,27083,100275,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,2057,0,446,713,713,1280,0,0,67,67,2008,0,0,190,190
Week of 2/22/2021,Valley School District,33070,100277,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,773,666,8,94,100,484,426,10,42,44,70,0,6,50,62
Week of 2/22/2021,Vancouver School District,6037,100278,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,9325,0,2277,3568,7048,5315,0,0,236,427,6450,0,0,322,643
Week of 2/22/2021,WA HE LUT Indian School Agency,34901,106074,Complete,Phase-In,100% Remote,Not Applicable,"Grade K,Grade 1,Grade 2,Grade 3",,,91,0,20,42,42,49,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Wahkiakum School District,35200,100280,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,182,2,21,154,161,98,6,18,61,80,194,11,24,110,170
Week of 2/22/2021,Wahluke School District,13073,100281,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1079,0,122,957,957,589,0,105,484,484,743,31,100,643,643
Week of 2/22/2021,Waitsburg School District,36401,100282,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,100,0,0,50,100,63,0,0,31,63,78,0,0,39,78
Week of 2/22/2021,Walla Walla Public Schools,36140,100283,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,Students with Disabilities,,2236,161,56,2019,2019,1225,78,0,1147,1147,1907,476,31,99,99
Week of 2/22/2021,Warden School District,13146,100285,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,378,0,46,177,333,219,0,32,94,188,273,0,63,109,212
Week of 2/22/2021,Washougal School District,6112,100286,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Low Income,Homeless,Section 504,Students with Disabilities",,1198,48,187,430,963,735,42,107,290,586,1051,35,0,0,203
Week of 2/22/2021,Washtucna School District,1109,100287,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,34,0,5,29,33,14,0,1,13,14,20,0,0,20,20
Week of 2/22/2021,Waterville School District,9209,100288,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,114,0,17,97,97,35,0,2,33,33,95,0,14,60,81
Week of 2/22/2021,Wellpinit School District,33049,100289,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,190,0,12,83,178,108,0,5,52,104,100,0,3,48,97
Week of 2/22/2021,Wenatchee School District,4246,100290,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,3134,0,279,2855,2855,1712,0,137,1575,1575,2183,0,139,2044,2044
Week of 2/22/2021,West Valley School District (Spokane),32363,100291,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1219,0,114,553,1105,753,0,127,157,626,1401,0,187,304,1214
Week of 2/22/2021,West Valley School District (Yakima),39208,100292,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1900,50,475,1425,1425,1700,75,475,650,1225,1500,125,1400,600,1200
Week of 2/22/2021,White Pass School District,21303,100293,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,165,0,17,148,165,53,0,10,23,47,110,12,26,36,73
Week of 2/22/2021,White River School District,27416,100294,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1932,0,396,1536,1536,942,0,253,689,689,1192,0,358,834,834
Week of 2/22/2021,White Salmon Valley School District,20405,100295,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,576,0,87,216,443,205,0,31,89,182,311,0,80,116,228
Week of 2/22/2021,Wilbur School District,22200,100296,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,81,0,9,72,73,47,0,4,43,43,94,0,19,75,75
Week of 2/22/2021,Willapa Valley School District,25160,100297,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,139,0,8,131,131,86,0,2,42,84,114,0,4,55,110
Week of 2/22/2021,Wilson Creek School District,13167,100298,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,69,0,5,64,64,34,0,4,1,4,44,0,5,39,39
Week of 2/22/2021,Winlock School District,21232,100299,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,325,0,30,295,300,160,0,40,120,130,210,0,70,130,140
Week of 2/22/2021,Wishkah Valley School District,14117,100300,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,51,0,6,45,45,54,0,4,50,50,48,0,4,44,44
Week of 2/22/2021,Wishram School District,20094,100301,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,26,0,5,21,21,15,0,3,12,12,23,0,4,19,19
Week of 2/22/2021,Woodland School District,8404,100302,Complete,Phase-In,Partial In-Person for All Students,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,884,76,42,511,766,729,68,0,365,729,797,183,0,70,110
Week of 2/22/2021,Yakima School District,39007,100303,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,6474,121,284,452,1617,3658,31,43,201,758,5172,31,109,257,991
Week of 2/22/2021,Yelm School District,34002,100304,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",Internet disconnected students,2380,0,467,960,1913,1336,0,305,118,203,1648,92,380,80,318
Week of 2/22/2021,Zillah School District,39205,100305,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,615,0,105,510,510,192,0,28,164,164,422,0,74,348,348
Week of 2/22/2021,Battle Ground School District,6119,100018,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Boistfort School District,21234,100025,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,CASHMERE SCHOOL DISTRICT,4222,100035,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Centerville School District,20215,100037,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Dixie School District,36101,100069,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Evergreen School District (Stevens),33205,100085,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Grand Coulee Dam School District,13301,100095,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Hoquiam School District,14028,100108,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Inchelium School District,10070,100109,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Kahlotus School District,11056,100112,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Kittitas School District,19403,100120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Lake Chelan School District,4129,100125,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Lamont School District,38264,100129,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Mabton School District,39120,100137,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Mansfield School District,9207,100138,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Medical Lake School District,32326,100145,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,North River School District,25200,100171,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Onion Creek School District,33030,100185,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Pioneer School District,23402,100200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Riverview School District,17407,100222,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Roosevelt School District,20403,100224,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Rosalia School District,38320,100225,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Selkirk School District,26070,100232,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Snohomish School District,31201,100239,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Sultan School District,31311,100257,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Tekoa School District,38265,100264,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Vashon Island School District,17402,100279,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Wapato School District,39207,100284,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Lummi Tribal Agency,37903,105800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Spokane International Academy,32901,105813,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Innovation Charter School,36901,106019,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Rainier Valley Leadership Academy,17910,106046,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 2/22/2021,Yakama Nation Tribal Compact,39901,106181,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week of 3/1/2021,Aberdeen School District,14005,100010,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Homeless,Migrant,Students with Disabilities",,1282,3,258,294,1279,761,5,250,257,756,931,27,0,0,904
Week of 3/1/2021,Adna School District,21226,100011,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,15,216,216,155,0,14,85,155,212,5,11,126,212
Week of 3/1/2021,Almira School District,22017,100012,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20
Week of 3/1/2021,Anacortes School District,29103,100013,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1109,0,132,977,977,627,0,100,527,527,765,59,100,606,606
Week of 3/1/2021,Arlington School District,31016,100014,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Section 504,Students with Disabilities",,2216,43,225,2001,2001,1285,31,0,83,83,1778,0,0,246,246
Week of 3/1/2021,Asotin-Anatone School District,2420,100015,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,289,0,7,282,282,146,0,7,139,139,185,0,10,175,175
Week of 3/1/2021,Auburn School District,17408,100016,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","English Language Learners,Low Income,Section 504,Students with Disabilities",,7319,0,2049,1786,1786,3858,0,0,19,38,5393,28,0,28,55
Week of 3/1/2021,Bainbridge Island School District,18303,100017,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1096,0,131,878,878,1107,0,135,919,919,1352,0,190,1149,1149
Week of 3/1/2021,Bellevue School District,17405,100019,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","English Language Learners,Homeless,Students with Disabilities,Other - Write In (Required)",Academic Support,8197,0,2786,2260,2260,4782,0,1360,155,155,6714,0,1555,705,705
Week of 3/1/2021,Bellingham School District,37501,100020,Complete,Partial In-Person for All Students,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8",Other - Write In (Required),"For middle and high, we have students attending our """"""""internet cafe"""""""" who learn remotely on-site. There are a variety of reasons for attending, including homelessness or ELL. We also have a select number of teachers who are piloting hybrid instruction at the secondary level, teaching students at home and in person. ",4665,524,410,3472,4247,2467,83,475,925,1850,3255,0,10,175,175
Week of 3/1/2021,Benge School District,1122,100021,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,15,0,2,13,13,0,0,0,0,0,0,0,0,0,0
Week of 3/1/2021,Bickleton School District,20203,100023,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,53,0,1,52,52,19,0,1,18,18,38,0,1,37,37
Week of 3/1/2021,Blaine School District,37503,100024,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,990,37,216,355,355,507,26,121,166,166,666,21,193,236,236
Week of 3/1/2021,Boistfort School District,21234,100025,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,70,0,10,60,60,14,0,2,12,12,0,0,0,0,0
Week of 3/1/2021,Bremerton School District,18100,100026,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,2086,95,642,739,1426,1000,37,0,9,4,1294,183,0,44,21
Week of 3/1/2021,Brewster School District,24111,100027,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,404,0,19,355,385,243,0,21,178,222,274,0,14,188,260
Week of 3/1/2021,Brinnon School District,16046,100029,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,46,0,3,43,43,34,0,2,32,32,0,0,0,0,0
Week of 3/1/2021,Burlington-Edison School District,29100,100030,Complete,Partial In-Person for All Students,Partial In-Person for All Students,100% Remote,,,,1625,0,300,600,1225,555,0,50,250,505,1117,20,0,50,50
Week of 3/1/2021,Camas School District,6117,100031,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",Academic and Mental Health Support,2806,0,558,1237,2248,1740,0,388,741,1352,2476,1,0,218,545
Week of 3/1/2021,Cape Flattery School District,5401,100032,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,271,0,10,72,72,107,0,4,39,39,137,0,6,59,59
Week of 3/1/2021,Carbonado School District,27019,100033,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,129,0,2,127,127,61,0,1,60,60,0,0,0,0,0
Week of 3/1/2021,Cascade School District,4228,100034,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,514,56,111,200,385,303,22,83,120,222,373,4,87,144,283
Week of 3/1/2021,Castle Rock School District,8401,100036,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,600,0,60,250,540,330,0,50,165,280,400,0,60,175,340
Week of 3/1/2021,Catalyst Public Schools,18901,106245,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,112,0,25,87,87,56,0,10,46,46,0,0,0,0,0
Week of 3/1/2021,Centerville School District,20215,100037,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,49,0,3,46,0,39,0,0,39,0,0,0,0,0,0
Week of 3/1/2021,Central Kitsap School District,18401,100038,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,4756,296,404,4056,4056,2611,92,222,118,216,3445,60,329,155,284
Week of 3/1/2021,Central Valley School District,32356,100039,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,6195,0,908,5287,5287,3314,0,547,1927,2767,4110,100,1295,1358,2715
Week of 3/1/2021,Centralia School District,21401,100040,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1842,0,368,740,1480,511,0,0,35,60,969,0,0,50,100
Week of 3/1/2021,Chehalis School District,21302,100041,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094
Week of 3/1/2021,Cheney School District,32360,100042,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2287,0,508,1487,1779,1235,0,342,457,914,1379,0,542,419,837
