,Week,DistrictName,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High,OrganizationLevel,County,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,Unnamed: 0,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate,_merge
521,1/18/2021,Mercer Island School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Low Income,Homeless,Section 504,Students with Disabilities",,1372,0,0,376,376,1021,0,0,15,30,1464,0,0,25,49,District,King,4200,1962,5,2233,2,998,37,226,5,509,2423,148,625,12,149,1,18,77,347,444,4052,3575,4188,4051,4199,4182,4123,3853,3756,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
522,1/18/2021,Muckleshoot Indian Tribe,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,298,0,0,84,168,150,0,0,40,80,157,0,0,45,90,District,King,574,290,1,283,449,0,0,91,0,28,6,0,0,0,422,24,0,5,0,154,574,574,574,152,550,574,569,574,420,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
523,1/18/2021,Northshore School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 8,Grade 9,Grade 10,Grade 12",Students with Disabilities,,10406,0,0,16,16,5353,0,0,5,5,6806,0,0,17,17,District,King,23414,11360,38,12016,53,5466,474,2984,31,2129,12277,2162,4817,72,2666,3,19,400,1935,2989,21252,18597,23342,20748,23411,23395,23014,21479,20425,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
524,1/18/2021,Rainier Prep Charter School District,,100% Remote,,,,,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,District,King,346,165,0,181,0,25,171,120,0,13,17,78,0,7,256,0,1,3,6,36,268,346,339,90,346,345,343,340,310,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
525,1/18/2021,Renton School District,100% Remote,100% Remote,100% Remote,,,,6931,0,0,10,10,3561,0,0,0,0,4131,0,0,1,1,District,King,15612,7523,60,8029,65,3914,2311,4022,176,1559,3565,2999,1347,437,7572,17,71,372,648,2353,12613,14265,15175,8040,15595,15541,15240,14964,13259,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
526,1/18/2021,Riverview School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Low Income,Students with Disabilities,Other - Write In (Required)",Developmental Preschool,1294,0,0,55,60,724,0,0,14,15,879,0,0,6,6,District,King,3107,1516,8,1583,8,115,25,437,2,163,2357,188,36,7,420,3,24,81,196,350,2919,3071,3100,2687,3104,3083,3026,2911,2757,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
527,1/18/2021,Shoreline School District,100% Remote,100% Remote,100% Remote,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,9551,4603,1,4947,32,1249,790,1319,58,1188,4915,920,1056,139,2504,0,62,141,730,1138,8631,8495,9412,7047,9551,9489,9410,8821,8413,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
528,1/18/2021,Skykomish School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",Other - Write In (Required),special needs students and students struggling academically,29,0,0,0,7,14,0,0,0,3,12,0,0,0,6,District,King,54,24,0,30,2,0,0,2,0,5,45,0,7,0,33,0,0,3,2,19,54,47,54,21,54,54,51,52,35,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
529,1/18/2021,Snoqualmie Valley School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,All Students",,3450,0,0,776,776,1740,0,0,221,221,1843,0,0,230,230,District,King,7026,3389,0,3637,37,557,76,626,14,477,5239,253,390,24,677,0,62,162,540,773,6773,6636,7002,6349,7026,6964,6864,6486,6253,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
530,1/18/2021,Summit Public School: Atlas,100% Remote,100% Remote,100% Remote,,,,0,0,0,0,0,263,0,0,0,0,207,0,0,0,0,District,King,509,197,2,310,3,13,145,81,2,63,194,0,0,3,217,0,0,9,13,82,509,509,506,292,509,509,500,496,427,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
531,1/18/2021,Summit Public School: Sierra,,,Small Groups + Remote,Grade 12,Other - Write In (Required),One student with an acute need,0,0,0,0,0,0,0,0,0,0,377,0,0,0,1,District,King,385,186,0,199,0,16,128,57,2,53,125,0,0,4,118,0,1,2,38,72,385,385,381,267,385,384,383,347,313,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
532,1/18/2021,Vashon Island School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,All Students",,480,0,0,24,24,360,0,0,17,17,480,0,0,20,20,District,King,1522,740,1,781,4,27,6,201,2,142,1140,82,59,20,359,0,5,36,109,186,1440,1463,1502,1163,1522,1517,1486,1413,1336,745,90,2381,2471,353.0,430,799,568,437,150,86,1,4582,202.67,both
533,1/25/2021,Auburn School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Low Income,Students with Disabilities",,7295,0,0,49,98,3865,0,0,15,29,5421,0,0,18,37,District,King,17065,8284,0,8781,186,1894,1396,5391,850,1701,5647,3686,547,39,9705,12,147,475,262,1973,13379,16518,17026,7360,17053,16918,16590,16803,15092,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
534,1/25/2021,Enumclaw School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1707,0,239,1185,1185,973,0,125,145,145,1174,0,233,175,175,District,King,4145,1981,1,2163,43,39,34,739,14,204,3072,230,231,122,1305,2,17,111,107,715,3915,3914,4023,2840,4143,4128,4034,4038,3430,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
535,1/25/2021,Federal Way School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,9001,6,0,8,9,4998,49,0,5,5,5886,385,1,14,14,District,King,21856,10603,16,11237,95,2577,3502,7180,1231,2398,4873,4861,2013,465,14324,49,180,765,604,3151,16995,19843,21391,7532,21807,21676,21091,21252,18705,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
536,1/25/2021,Highline School District,100% Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,8704,0,25,66,60,4179,0,11,40,40,5390,19,21,46,46,District,King,18860,8922,30,9908,136,2811,2861,7482,659,1424,3487,5645,687,1022,11461,8,152,442,0,2894,13215,18173,17838,7399,18852,18708,18418,18860,15966,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
537,1/25/2021,Impact | Puget Sound Elementary,100% Remote,Not Applicable,Not Applicable,,,,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,415,208,1,206,1,52,218,66,2,15,61,168,5,4,271,0,2,8,0,16,247,410,411,144,415,413,407,415,399,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
538,1/25/2021,Impact | Salish Sea Elementary,100% Remote,Not Applicable,Not Applicable,,,,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,128,71,0,57,0,16,85,12,1,3,11,53,0,0,75,0,0,5,0,2,75,128,128,53,128,128,123,128,126,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
539,1/25/2021,Issaquah School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,8617,0,23,60,60,4953,0,10,38,38,6363,0,26,20,20,District,King,20328,9971,0,10357,37,6697,424,1863,37,1730,9540,1606,1095,120,1928,3,120,409,1457,1731,18722,19233,20208,18400,20325,20208,19919,18871,18597,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
540,1/25/2021,Lake Washington School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,14632,20,0,216,216,7234,17,0,68,68,8567,14,0,73,73,District,King,31139,14941,11,16187,56,10864,666,3283,32,2526,13712,3581,3643,185,3033,1,74,670,1995,3245,27558,27496,30954,28106,31138,31065,30469,29144,27894,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
541,1/25/2021,Mercer Island School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Low Income,Students with Disabilities,Other - Write In (Required)",Students struggling to make progress in remote.,1372,0,64,163,364,1021,0,6,30,30,4105,0,11,50,50,District,King,4200,1962,5,2233,2,998,37,226,5,509,2423,148,625,12,149,1,18,77,347,444,4052,3575,4188,4051,4199,4182,4123,3853,3756,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
542,1/25/2021,Muckleshoot Indian Tribe,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,298,0,0,84,168,150,0,0,40,80,157,0,0,45,90,District,King,574,290,1,283,449,0,0,91,0,28,6,0,0,0,422,24,0,5,0,154,574,574,574,152,550,574,569,574,420,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
543,1/25/2021,Northshore School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,10406,0,4,16,16,5353,0,3,5,5,6806,0,15,17,17,District,King,23414,11360,38,12016,53,5466,474,2984,31,2129,12277,2162,4817,72,2666,3,19,400,1935,2989,21252,18597,23342,20748,23411,23395,23014,21479,20425,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
544,1/25/2021,Rainier Prep Charter School District,Not Applicable,100% Remote,Not Applicable,,,,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,District,King,346,165,0,181,0,25,171,120,0,13,17,78,0,7,256,0,1,3,6,36,268,346,339,90,346,345,343,340,310,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
545,1/25/2021,Renton School District,Small Groups + Remote,100% Remote,Small Groups + Remote,,Students with Disabilities,,7028,59,0,11,11,3641,34,0,0,0,4167,103,0,1,1,District,King,15612,7523,60,8029,65,3914,2311,4022,176,1559,3565,2999,1347,437,7572,17,71,372,648,2353,12613,14265,15175,8040,15595,15541,15240,14964,13259,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
546,1/25/2021,Riverview School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Low Income,Students with Disabilities,Other - Write In (Required)",Developmental Preschool,1294,0,0,55,60,724,0,0,14,15,879,0,0,6,6,District,King,3107,1516,8,1583,8,115,25,437,2,163,2357,188,36,7,420,3,24,81,196,350,2919,3071,3100,2687,3104,3083,3026,2911,2757,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
547,1/25/2021,Shoreline School District,100% Remote,100% Remote,100% Remote,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,9551,4603,1,4947,32,1249,790,1319,58,1188,4915,920,1056,139,2504,0,62,141,730,1138,8631,8495,9412,7047,9551,9489,9410,8821,8413,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
548,1/25/2021,Skykomish School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",Other - Write In (Required),special needs students and students struggling academically,29,0,0,0,7,14,0,0,0,3,12,0,0,0,6,District,King,54,24,0,30,2,0,0,2,0,5,45,0,7,0,33,0,0,3,2,19,54,47,54,21,54,54,51,52,35,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
549,1/25/2021,Snoqualmie Valley School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,All Students",,3450,0,0,776,776,1740,0,0,221,221,1843,0,0,230,230,District,King,7026,3389,0,3637,37,557,76,626,14,477,5239,253,390,24,677,0,62,162,540,773,6773,6636,7002,6349,7026,6964,6864,6486,6253,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
550,1/25/2021,Summit Public School: Atlas,100% Remote,100% Remote,100% Remote,,,,0,0,0,0,0,263,0,0,0,0,207,0,0,0,0,District,King,509,197,2,310,3,13,145,81,2,63,194,0,0,3,217,0,0,9,13,82,509,509,506,292,509,509,500,496,427,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
551,1/25/2021,Summit Public School: Sierra,Not Applicable,Not Applicable,Small Groups + Remote,,Other - Write In (Required),One student with an acute need,0,0,0,0,0,0,0,0,0,0,377,0,0,0,1,District,King,385,186,0,199,0,16,128,57,2,53,125,0,0,4,118,0,1,2,38,72,385,385,381,267,385,384,383,347,313,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
552,1/25/2021,Vashon Island School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,All Students",,480,0,0,24,24,360,0,0,17,17,480,0,0,20,20,District,King,1522,740,1,781,4,27,6,201,2,142,1140,82,59,20,359,0,5,36,109,186,1440,1463,1502,1163,1522,1517,1486,1413,1336,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
553,1/25/2021,Bellevue School District,Phase-In,Small Groups + Remote,Small Groups + Remote,Grade 2,"English Language Learners,Homeless,Students with Disabilities,Other - Write In (Required)",Academic Support,8258,0,2786,810,810,4799,0,1371,145,145,6744,0,1563,404,404,District,King,20283,9719,17,10547,25,8728,656,2642,53,1897,6282,3074,3397,240,3515,7,166,483,1274,1896,17209,16886,20043,16768,20276,20117,19800,19009,18387,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
554,1/25/2021,Kent School District,100% Remote,100% Remote,100% Remote,,,,13874,0,0,0,0,4057,0,0,0,0,7701,288,0,0,0,District,King,25739,12457,5,13277,73,5524,3315,5956,740,2487,7643,5674,2139,271,13509,24,128,631,1166,2989,20065,23600,25468,12230,25715,25611,25108,24573,22750,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
555,1/25/2021,Rainier Valley Leadership Academy,Not Applicable,100% Remote,100% Remote,,,,0,0,0,0,0,94,0,2,0,0,69,0,0,2,2,District,King,158,76,0,82,0,3,113,23,0,15,4,19,0,0,123,0,1,0,4,37,139,158,158,35,158,157,158,154,121,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
556,1/25/2021,Tahoma School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,3721,0,0,54,54,2135,0,0,30,30,2469,0,0,19,19,District,King,8779,4177,8,4594,29,620,206,988,61,983,5892,314,509,41,1280,2,103,208,569,1161,8465,8270,8738,7499,8777,8676,8571,8210,7618,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
557,1/25/2021,Tukwila School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,1126,181,139,42,36,615,86,79,7,7,856,85,80,5,2,District,King,2763,1348,32,1383,25,720,554,884,117,165,298,1025,80,114,2079,0,4,70,40,334,1738,2683,2649,684,2763,2759,2693,2723,2429,705,134,1977,2111,301.57,360,579,528,396,178,68,2,4000,176.93,both
558,2/1/2021,Auburn School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Low Income,Students with Disabilities",,7301,0,0,50,100,3869,0,0,18,36,5415,28,0,34,68,District,King,17065,8284,0,8781,186,1894,1396,5391,850,1701,5647,3686,547,39,9705,12,147,475,262,1973,13379,16518,17026,7360,17053,16918,16590,16803,15092,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
559,2/1/2021,Enumclaw School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1707,0,255,751,1452,973,0,157,407,816,1174,0,298,475,876,District,King,4145,1981,1,2163,43,39,34,739,14,204,3072,230,231,122,1305,2,17,111,107,715,3915,3914,4023,2840,4143,4128,4034,4038,3430,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
560,2/1/2021,Federal Way School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,9001,6,0,8,9,4998,49,0,5,5,5886,385,1,14,14,District,King,21856,10603,16,11237,95,2577,3502,7180,1231,2398,4873,4861,2013,465,14324,49,180,765,604,3151,16995,19843,21391,7532,21807,21676,21091,21252,18705,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
561,2/1/2021,Highline School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,8704,0,25,66,66,4179,0,11,40,40,5390,19,21,46,46,District,King,18860,8922,30,9908,136,2811,2861,7482,659,1424,3487,5645,687,1022,11461,8,152,442,0,2894,13215,18173,17838,7399,18852,18708,18418,18860,15966,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
562,2/1/2021,Impact | Puget Sound Elementary,100% Remote,Not Applicable,Not Applicable,,,,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,415,208,1,206,1,52,218,66,2,15,61,168,5,4,271,0,2,8,0,16,247,410,411,144,415,413,407,415,399,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
563,2/1/2021,Impact | Salish Sea Elementary,100% Remote,Not Applicable,Not Applicable,,,,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District,King,128,71,0,57,0,16,85,12,1,3,11,53,0,0,75,0,0,5,0,2,75,128,128,53,128,128,123,128,126,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
564,2/1/2021,Issaquah School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,8595,0,23,59,59,4963,0,10,37,37,6356,0,26,20,20,District,King,20328,9971,0,10357,37,6697,424,1863,37,1730,9540,1606,1095,120,1928,3,120,409,1457,1731,18722,19233,20208,18400,20325,20208,19919,18871,18597,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
565,2/1/2021,Lake Washington School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,14632,20,0,216,0,7234,17,0,68,0,8567,14,0,73,0,District,King,31139,14941,11,16187,56,10864,666,3283,32,2526,13712,3581,3643,185,3033,1,74,670,1995,3245,27558,27496,30954,28106,31138,31065,30469,29144,27894,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
566,2/1/2021,Mercer Island School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Low Income,Section 504,Students with Disabilities,Other - Write In (Required)",Students struggling to attend or failing courses,1372,0,64,163,364,1021,0,6,30,30,1446,0,11,50,50,District,King,4200,1962,5,2233,2,998,37,226,5,509,2423,148,625,12,149,1,18,77,347,444,4052,3575,4188,4051,4199,4182,4123,3853,3756,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
567,2/1/2021,Muckleshoot Indian Tribe,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,290,0,159,84,168,133,0,73,40,80,146,0,80,45,90,District,King,574,290,1,283,449,0,0,91,0,28,6,0,0,0,422,24,0,5,0,154,574,574,574,152,550,574,569,574,420,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
568,2/1/2021,Northshore School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,10407,0,4,16,16,5346,0,3,5,5,6789,0,15,17,17,District,King,23414,11360,38,12016,53,5466,474,2984,31,2129,12277,2162,4817,72,2666,3,19,400,1935,2989,21252,18597,23342,20748,23411,23395,23014,21479,20425,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
569,2/1/2021,Rainier Prep Charter School District,Not Applicable,Small Groups + Remote,Not Applicable,,Students with Disabilities,,0,0,0,0,0,343,0,3,10,10,0,0,0,0,0,District,King,346,165,0,181,0,25,171,120,0,13,17,78,0,7,256,0,1,3,6,36,268,346,339,90,346,345,343,340,310,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
570,2/1/2021,Renton School District,Small Groups + Remote,100% Remote,Small Groups + Remote,,Students with Disabilities,,7015,59,0,11,11,3629,34,0,0,0,4171,103,0,1,1,District,King,15612,7523,60,8029,65,3914,2311,4022,176,1559,3565,2999,1347,437,7572,17,71,372,648,2353,12613,14265,15175,8040,15595,15541,15240,14964,13259,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
571,2/1/2021,Shoreline School District,100% Remote,100% Remote,100% Remote,,,,4093,0,0,0,0,2239,0,0,0,0,2904,0,0,0,0,District,King,9551,4603,1,4947,32,1249,790,1319,58,1188,4915,920,1056,139,2504,0,62,141,730,1138,8631,8495,9412,7047,9551,9489,9410,8821,8413,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
572,2/1/2021,Skykomish School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"Section 504,Students with Disabilities",,29,0,0,7,7,14,0,0,3,3,12,0,0,6,6,District,King,54,24,0,30,2,0,0,2,0,5,45,0,7,0,33,0,0,3,2,19,54,47,54,21,54,54,51,52,35,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
573,2/1/2021,Snoqualmie Valley School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Low Income,Students with Disabilities,Other - Write In (Required)",Academically disconnected,3500,0,750,800,800,1500,0,350,50,50,1800,0,350,50,50,District,King,7026,3389,0,3637,37,557,76,626,14,477,5239,253,390,24,677,0,62,162,540,773,6773,6636,7002,6349,7026,6964,6864,6486,6253,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
574,2/1/2021,Summit Public School: Sierra,Not Applicable,Not Applicable,Small Groups + Remote,,Other - Write In (Required),One student with an acute need,0,0,0,0,0,0,0,0,0,0,376,0,0,0,1,District,King,385,186,0,199,0,16,128,57,2,53,125,0,0,4,118,0,1,2,38,72,385,385,381,267,385,384,383,347,313,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
575,2/1/2021,Vashon Island School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Other - Write In (Required)",CTE,475,95,0,24,24,360,0,0,17,17,475,40,0,20,20,District,King,1522,740,1,781,4,27,6,201,2,142,1140,82,59,20,359,0,5,36,109,186,1440,1463,1502,1163,1522,1517,1486,1413,1336,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
576,2/1/2021,Bellevue School District,Phase-In,Small Groups + Remote,Small Groups + Remote,Grade 2,"English Language Learners,Homeless,Students with Disabilities,Other - Write In (Required)",Academic Support,8232,0,2782,823,823,4784,0,1363,145,145,6720,0,1561,509,509,District,King,20283,9719,17,10547,25,8728,656,2642,53,1897,6282,3074,3397,240,3515,7,166,483,1274,1896,17209,16886,20043,16768,20276,20117,19800,19009,18387,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
577,2/1/2021,Kent School District,100% Remote,100% Remote,100% Remote,,,,13874,0,0,0,0,4057,0,0,0,0,7701,288,0,0,0,District,King,25739,12457,5,13277,73,5524,3315,5956,740,2487,7643,5674,2139,271,13509,24,128,631,1166,2989,20065,23600,25468,12230,25715,25611,25108,24573,22750,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
578,2/1/2021,Tahoma School District,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3",Students with Disabilities,,3758,0,1374,2384,2384,2143,0,2115,28,28,2705,0,2595,110,110,District,King,8779,4177,8,4594,29,620,206,988,61,983,5892,314,509,41,1280,2,103,208,569,1161,8465,8270,8738,7499,8777,8676,8571,8210,7618,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
579,2/1/2021,Tukwila School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,1128,181,139,42,38,615,86,79,7,6,858,85,80,5,2,District,King,2763,1348,32,1383,25,720,554,884,117,165,298,1025,80,114,2079,0,4,70,40,334,1738,2683,2649,684,2763,2759,2693,2723,2429,666,176,1713,1889,269.86,376,547,457,336,133,40,0,3201,141.59,both
580,2/8/2021,Auburn School District,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Low Income,Section 504,Students with Disabilities",,7301,0,0,62,124,3869,0,0,18,37,5415,28,0,31,62,District,King,17065,8284,0,8781,186,1894,1396,5391,850,1701,5647,3686,547,39,9705,12,147,475,262,1973,13379,16518,17026,7360,17053,16918,16590,16803,15092,626,98,1214,1312,187.43,248,401,281,232,112,38,0,2430,107.48,both
581,2/8/2021,Enumclaw School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1742,0,255,786,1487,984,0,157,418,827,1186,0,298,487,888,District,King,4145,1981,1,2163,43,39,34,739,14,204,3072,230,231,122,1305,2,17,111,107,715,3915,3914,4023,2840,4143,4128,4034,4038,3430,626,98,1214,1312,187.43,248,401,281,232,112,38,0,2430,107.48,both
